jobtitle,skills
SOC Analyst,"AlienVault, Linux, SSH, SFTP, SSH, OpenVPN, bash shell, vi editor"
.NET Development Manager,"lead, C#, ASP.NET MVC, architecture, development, jQuery, JSON, SQL Server, desired: MVC, MVVM, WebAPI, RESTful services, Angular, WCF, Entity Framework, IIS, MS Dynamics AX, JIRA, application securit"
Net Ops Specialist Mid,"CLEARANCE,CCNA"
Chef Engineer,Experience and knowledge of Configuration Management (Chef) and CD/CI tools
Instructional Designer for Epic,"Prelude, ADT, Coding, Billing, Epic, Cadence"
PeopleSoft Portal Developer Role,PeopleSoft Portal Developer Role
Guidewire Technology Architect,"Application, Systems, Solutions, Enterprise Architecture, Guidewire PolicyCenter, Guidewire Technology Architect"
System Administrator - Window Domain Administrator,"5 years Active Directory Administration at Window 2008 R2, 2003/2008 R2 Active Directory support, Window clustering, Large production environment, PKI"
Electronic Trading Developer- C#/C++,"C++, C#, WPF, XAML, SQL, Oracle, MVVM, ""Front Office"", ""Trading System"""
Cisco TelePresence Engineer,"Cisco Telepresence, Unified Communications (TMS, TMSXE, CUCM)"
Technical Lead: .NET Architecture/Development + code reviews,".net architecture, .net development, technical lead, code reviews, asp.net mvc, sql, html, javascript, css, web services, webapi, rest, soap, C#, vendor mgmt, ms project, documentation, insurance"
Server Administrator,"Ada, Linux, Research, Security"
Xamarin/IOS Develope,"ios app,Xamarin"
IT Data Analyst / Technical Business Analyst (WEB SERVICES / JAVASCRIPT / SQL),"Senior Data Analyst, Business Analyst RESTful Webservices, Javascript SQL Server 2012 SQL TSQL queries MongoDB data models Visio Excel Sr Data Analyst Data Analysis SQL Web Services Javascript MongoDB"
Fluid Dynamics Process Engineer,"Fluid Dynamics, Process Engineer, valves, fluid dispensing, fluid dynamics, mass transfer, electromechanical systems, chemical synthesis, C++, C#, LabView, Visual Basic"
"SAP FICO, BUSINESS ANALYST","SAP FICO, Tax and Japan Localization, GL, COPA"
Trading Application Support,"UNIX/Linux, Perl/Python, Electronic Trading System Support"
Financial Analyst,"Financial Analyst, IT project management, budgeting / forecasting, analyze the data and provide reports Provide metrics / KPI for the ongoing projects"
Cobol Programmer,Cobol PL/SQL Linux
Java Engineer (in person Interview),"Java,Lambda,API,SOAP, REST, Hibernate,SQS, RabbitMQ, Kafka or Apache MQ,,Nosql"
C++ Research Platform Engineer,C++ Python Unix
Epic Security Analyst II,"HL7, Epic"
SAP SD/CS Cosnulatnt,SAP SD/CS
OOP - Python,OOP - Python
MicroStrategy BI Developer,MicroStrategy BI
IBM Case Manager,"IBM Case Manager, IBM FileNe"
IT Director,"IT Manager, IT Supervisor, POS Systems, PCI, Network Operations, Hardware and Software evaluations, Security, Retail Industry"
Network Security Engineer,"Security, Network, Engineer, SANS, GSEC, GCIH, GCFA"
Salesforce Developer,"Salesforce ,Apex, VisualForce, MobileSDK, Salesforce/ Lightning connect,salesforce1 platform and Lightning components"
Business Analyst,IIBA
Business Development Manager,"Business Development, IT Services, Sales, Sales and Marketing, New Accounts"
Digital Sales - Inside Sales Representative,"""Inside Sales"", ""Digital Sales"", ""IT Sales"" , ""IBM sales"" , ""IBM Product sales"" , IBM ,"
Part-time Desktop Support - Apple,Apple Desktop Support
Network Engineer - Direct Hire / Fulltime / Perm,Network Engineer - Direct Hire / Fulltime / Perm
QA LEAD,"QA, Capital Markets"
Ab-initio ETL Developer,"""etl"",""soa"",""Ab intio"",""Talend"",""SQl"",""MQ"""
Core Java Developer,"Core Java, Multithreading, Linux, SQL (Sybase preferred)"
Senior Principal HFM/FDM Consultant - Oracle Platinum Partner (Permanent position),"HYPERION, HFM, FDM, FDMEE, ARCHITECT, CONSULTING, ORACLE, FINANCIAL"
Senior UI Engineer,"MMO, UI, Game Development, C, C++, Virtual Reality"
UI/UX Developer,"Illustrator, Sketch, Photoshop, Microsoft Office, ui designer, Balsamiq, ux developer"
Lims Link Expert,Lims Link
Computer Operator,"Computer Operator, Autosys, CA7, JCL, CICS, TSO, DB2, batch processing, mainframe support, ServiceNow"
Application Support Engineer,"SQL, Java, JavaScript, HTML, CSS"
Mobile Application Developer,"iOS, Android, Objective-C, UIKit, Animation"
Javascript Developer,"JavaScript, HTML 5, CSS3, JavaScript frameworks such as Angular, Backbone, Node, JavaScript libraries (e.g. JQuery), Database, Testing"
Ext.JS Developer,"EXT.JS,java,ext js,extjs"
Sr. SQL SERVER DBA(SME),"SQL Server, SQL and HA"
iOS Developer,"iOS, Objective-C, Swift"
Senior .NET Software Developer,".NET Framework, C#, ASP.NET, SQL Server and Agile software development methodology"
Functional Business Analyst(Product Manager),"Jira, Agile, Scrum, business requirements and processing flows, BA Skills"
"MetaSolv Solution Analyst in Cleveland, OH","MetaSolv Solution, MSS, Metasolv"
Java PhoneGap Developer,"Agile Development, Java Development, Back-end, Front-end, TDD, Cross Platform Frameworks, Phone Gap, Mobile Application"
Supply Chain Solution Architect,"Supply Chain, Solution Architect, Red Prairie, High Jump, Manhattan"
Java Developer - Portfolio Management System - NO FINANCE NEEDED,"Java, Multithreading, Spring"
2nd level application support,"application support, troubleshooting, help desk, desktop support"
Cyberark Senior Manager/Architect,"IAM, PAM, Cyberark, Quest, Consultign, Identity Management"
Data Management Specialist,"Data Management, SAP CRM, SAP ERP, CRM Customer Master, transactional data sets, large-scale business integration, analysis, modeling, statistical analysis, dashboards, design, delivery"
QA Engineer,"QA testing, Automated testing, C#, Selenium, TestComplete, exploratory, functional, regression, root cause, UAT, risk, feasibility, design, evaluate,"
Product Specialist,"Enterprise Level,Advanced Group Policy Management,KIX/VBS/PowerShell Scripting,Active Directory 2008,DNS, DHCP, WINS,Active Directory 2012"
Test Analyst,"team standards, test planning, resourcing and test execution, automated testing tools, database concepts and MS Office"
Order Managerment Functional Resource,This a 18 months contract onsite only. No exceptions!!
Collaboration Engineer,"Cisco Unity, UCCX, WebEx, SIP"
Programmer Analyst,"Java, C++, SQL, PHP, Python"
Infrastructure Architect - Cloud experience / Microsoft Azure,"Infrastructure Architect, Cloud, Microsoft azure, Cloud IaaS/PaaS, Azure, O365, Cloud Integration"
OPERATING SYSTEMS PROGRAMMER,Windows operating systems and applications
Sr.Java Developer,Sr Java Developer
Sr. Network Engineer,"Wireless experience, Cisco routing and switching, firewall experience, solid fundamental networking skill set."
Security Specialist,Security Specialist
Data entry,data entry experience
Puppet Automation Expert,"Puppet, Chep, Cloud, AWS, Amazon Web Services, Linux, DevOps, Bash Scripting, Puppet Automation"
UI/UX DEVELOPER,"UI,HTML, CSS, JavaScript,Java"
Sr. Project Manager,"ERP, COTS"
Oracle / MySQL DB Admin (full-time hire),"OEM,RMAN,RAC,MYSQL"
Exchange Server Administrator,"Exchange 2013, Lync 2010, Office 365"
Data Analyst,"SQL, Access, Data Analysis, mySQL"
Sailpoint Solution Architect,"Sailpoint, IAM, Identity & Access Management"
Data Analyst with Teradata,"Data Analysis, Teradata, SQL"
Systems Engineer,"Systems Engineer, Novel, Microsoft Windows, Virtual Servers, internet, Wi-Fi, SAN, Storage Area Networks"
SAP Hybris Tester,"SAP Hybris Testing, Selenium, Rest, Soap"
Level II Engineer/Technician,systems administrator
Test Manager,"Test Manager, CSG and ICOMS billing systems, ALM, GUI and web based customer"
PHP/ WordPress Web Developer,"PHP, Wordpress, SQL, HTML5 - PHP, Wordpress, SQL, HTML5"
"Technical Services Engineer, Federal","if dev background- Java, Python, Ruby, C, C++, C#, Javascript, node.js, Go, PHP, or Perl If you have an ops background, we prefer experience administering large-scale production environments,"
Senior PHP/Joomla Developer,"PHP, MySQL, JavaScript, HTML, CSS, RESTful, JSON, XML, Joomla"
Sr. Java Developer,"Sr. Java Developer needed, Philadelphia, PA 19103"
Digital Technical Senior Business Analyst/Ambassador,"marketing operations, brand, pharma exp."
YANG Software Engineer - Can Work Remotely,MUST have YANG modeling language experience
Sr Marketing Mgr/ Mgr Communications,"SIEM, Threat detection, Network Security, Marketing, Marketing Communications, Demand Gen, SEM, Marketo, Pardot, Hubspot"
Senior NetSuite ERP Consultant,NetSuite
ETL Designer,ETL Designer
Front-End Software Engineer,"BS in STEM degree, UI developer experience, excellent written and presentation skills"
mechanical design engineer,"solidworks, thermal analysis, cable harness"
Principal IT Infrastructure specialist,"LDAP admin, galera, mysql"
Sr. Android Developer,"Sr. Android Developer,-Java - UI API, networking API, services, threads. - JNI and C language. - Knowledge of Socket and video streaming"
Hadoop Solution Architect,"Hadoop, Hortonworks, Zookeeper, Python, Hive, Apache Tez, Lambda architecure"
Lead Reliability Engineer / Devops,"puppet, chef, Cloud"
Release Engineer with Facets,"Facets Development, release management experience: CICD, Stack Puppet, Jenkins, Java, C#."
Sr. OSB Software Developer,"""Oracle OSB"" ""Oracle Fusion Middleware"" ""Oracle WebLogic server"" ""j2ee"" ""jms"""
Software Engineer (Visualization),"C++, QT, Unity"
Project Manager,"Experience managing large complex public sector IT system projects, interaction with executive management, knowledge of State of California depts, operations, admin process."
Urgently looking for UI Developer,Java script CSS HTML Jquery Ajax Angular
Communication Marketing Specialist,communications
Sr UI Angular Developer,"Ui CSS,HTML,Javascript,Angular"
"Senior Software Engineer, Backend","Python, C++, AWS, Thrift/Docker"
"Games Tester (Windows, Games)",Testing - Games
Embedded Wireless LAN Software Test Lead-1017,8+ years of software test experience with at least 5-6 years of wireless (802.11abgn/ac) test experience
Revenue Manager,"Accounting, Revenue Recognition,"
NOC Resident Engineer,Network Engineer
QA Engineer(Groovy),"SOAP UI, Groovey, HTTPMaster"
Sterling OMS Sr Software Engineer,Sterling Yantra Developer
OBIEE Reporting Analytical,"OBIEE "" HR Analytics exp is a must """
"Informatica MDM Architect - SFO, CA","Informatica, MDM, Architect"
Principal Software Engineer,"Java, C++, C#, JavaScript, Angular, HL7, IHE"
Senior Product Marketing Manager,roadmap
Core Java Developer,"Core Java, Oracle, Struts, JDBC, JSP, JavaScript, JAVA/J2EE, WINDOWS, Algorithm"
Senior Full Stack Engineer,"Java, JavaScript, NodeJS, AngularJS, Redis, AWS, MySQL"
Business Development/IT Recruiting,"technology, IT, recruiter, recruiting, sales, ""account manager"", ""sales rep"", services"
Sales Operations Project Manager,"Sales, Operations, Project Manager, Support, Marketing,"
Software Engineer in Quality,Java; QA
Sr.Front End/UI Engineer@ CA F2F Must,MEAN stack
Junior PMO Analyst,PMO Analyst
Business Analyst,"Business Analyis, Tableau, MS Access, SQL, healthcare, SQL, access, Finance"
AR/AP Clerk or Accounting Assistant,"Accounting, AR, AP, Payable, Receivable"
"QA Team Lead (NYC or San Ramon, CA)","QA, automation framework, manual testing, team lead, sql, functional, regression, selenium, big data"
Senior Azure Cloud System Engineer,"IAAS / PAAS,Azure"
Java Dev CI and Jenkins,"Java CI,Jenkins,"
Urgent Hiring for Full Stack Java Developer,Java Core java Spring Rest Hibernate Javascript CSS3 HTML5 Angular J2EE
Peoplesoft Interaction Hub Admin,"PeopleSoft Interaction Hub, including extensive work experience on at least 2 large-scale system implementation projects involving large numbers of users and multiple locations. PeopleSoft HCM 9.2."
JavaDeveloper/Cassandra/Kafka,"Java,Data structures, Cassandra, Kafka"
Junior QA Analyst,"Good communication skills,Strong Analytical skills and knowledge on SQL"
Hadoop Consultant,"Cloudera Certified Administrator for Apache Hadoop (CCAH) a plus, CentOS/Red Hat Enterprise Linux , planning, management, and troubleshooting"
SAP FICO,"SAP FICO, SAP FI CO, SAP FI-CO"
ETL Developer / Architect,ETL Developer / Architect
Customer Success Program Manager,"B2B sales, program management experience, high-tech industry experience"
Staff/Principal Web UI Engineer,"extensive experience in Javascript, angular.js, HTML, CSS and Bootstrap"
System Administrator,"Linux, Windows, system administrator, vmware, kvm, red hat, redhat, shell, perl, python, bash"
Healthcare Project/Program Manager,"HealthCare,BI"
Sr. Full Stack Developer,"Full Stack Developer, JavaScript, HTML, CSS, Node.js"
Sr. Java Developer,"SAAS ,AWS ,CLOUD"
Portfolio Manager/IT Strategic Consultant/Management Consultant,Business Consultant
Sr. DevOps Engineer (Windows) / Locals,"Windows system administration, Windows PowerShell, Websphere 6.1 and later versions, WebLogic, IIS, SS"
Software Engineer / Application Developer II (Local),"C++, C#, Objective C, Database, scripting"
Lead Programmer Analyst,"Programming, SharePoint/Archibus, .Net, ITIL, SQL Server 2012, Webgate/SAML, .Net 4.5, C# 5.0, ASP.NET, WCF 4, Web API, RESTful"
IT Forensics Investigator,"encase, forensic investigation, ediscovery"
Principal C++ High Traffic Server Development -10B Transactions Daily,C++
Hyperion developer,Hyperion
Cloud Platform Engineer,"cloud production, engineer"
SalesForce Developer,10+ years application development and implementation experience
Microstrategy Developer,"Microstrategy, BI, analytics, Enterprise Data Warehouse (EDW), reporting"
Business Analyst with CRM and BI knowledge,"Informatica, Oracle and UNIX CRM BI"
FACETS Developer and McKesson ClaimsXten Designer,"FACETS, MCkesson ClaimsXten, SQL, Access, data analysis, data mining"
BDM for US Staffing (Work from Home anywhere in India),Business Development Managers
Salesforce AWS Developer,"JavaScript,Apex,Salesforce AWS,Sales Cloud and Service Cloud implementation"
Sr. QA Engineer,"SQL, Mobile Applications"
JAVA MULE ESB DEVELOPER,"Mule API,Mule ESB"
Devops Engineer ;San Francisco,"Devops, Aws ,Puppets , Jenhikns , GIT , Linux/Unix"
UI Manager,UI Manager
Instructional Designer,Instructional Designer web based training storyline
EDI Analyst,healthcare EDI
Mobile Application Developer,"Android, , C++, C#, objective-C,"
Fiserv Signature Programmer,"Fiserv signature, Code fix, data fix, Work Around"
Okta Resource,"Oracle IAM, Okta, Active Directory, SAML, Single Signon.."
Marketing Programs Consultant-Regulatory,"regulatory, Marketing,Policy,Operations,strategy"
Front End Web UI Developers,"Creative, Outstanding Communication, Strong Technical Skills"
Legal Administrator,"legal admin, paralegal"
"Backend Technical Consultant, Professional Services","Java, JavaScript, Ant, Maven, SQL, SOAP, REST"
Sr Software Engineer - Java distributed open source,Java 8 / Srping 4/ REST AP/ distributed messaging Kafka or other MQ tech/ build algorithms
Demantra Technical Consultant,"Demantra, CTO (Configure to Order)"
Big Data Architect,15 yrs of Software engineering experience with at least 4 years experience in Big Data infrastructure
Quality Assurance / Test Specialist with Mainframe,"Testing, Test Plan, Test Script, COBOL, DB2, CICS and JCL."
Oracle SCM Developer,"Inventory, BOM , WIP, Costing, FA,Oracle R11i & R12"
IBM Mainframe Infrastructure Architect,"Must have experience with IBM mainframe hardware components CPU, SAN, Channels, etc)."
Hadoop Solution Architect,"Hadoop, Python, Lambda, Hive"
Full stack Developer,"Docker , Kubernetes/Swarm/Mesos microservice architecture"
Full Stack .NET Developer,".NET C#, ASP.NET, WPF, .NET MVC Azure"
Cisco UCS/FLexpod,"Cisco UCS, Flexpod, Cisco/NetApp, RHEL 5.x and 6.x, SAN, NAS"
HFM/DRM) - Sr. Analyst,HFM/DRM
RECENT COLLEGE GRADS - Jr. Project Administrator - CALIFORNIA,"Excel, pivot tables and reports"
Badge Coordinator,"Badging Administrator, Knowledge of S2 ,Badge Systems"
People Management Project Manager,people management
Sales Engineer-Technical Account Manager - Vac-#1032,Minimum Bachelors Degree in CS or related. OR Equivalent work experience.Must possess two-to-three years of sales engineering experience in enterprise software environments.
CAD Engineer -1100,Provide EDA tool support and develop automation for Wireless Semiconductor Division design teams
Software Engineer,"C++, C, SDK , API, 3D, game, architect"
Software Engineer,PLC FBD SFC DeviceNet Modbus
"Oracle GRC Install ,HA ,DR","Oracle ,GRC ,Install"
Project Manager,"Project Manager, Project management ,Planning, Budgeting, Scheduling, PMP,Process"
Sr. Software Frontend Engineer,"Frontend, NodeJS, Migration, JavaScript, HTML and CSS"
Technical Writer- Hadoop,"Technical Writing, Hadoop, Javascript, API"
Java Product Engineer ( Strong Core Developer) - locals to CA only,"Java/J2ee , Core Java , Spring , Hibernate , Webservices ( REST / SOAP )"
IT - Developer,"SAP Business Objects, CMS V3, JAVA, J2EE, Oracle, BEA Weblogic, MVC Architecture, PL/SQL, Business Objects 2008, Quartz API, ADOBE Web Output Pak, Site-Minder, LDAP"
Entry Level or Mid Level Developer,"Software engineering, SDLC, IT technology, Hadoop Admin,& Hadoop Developer, & Jera &"
Sr. C++ Developer,"c++,kernel,messaging"
Senior Enterprise Applications Analyst and Developer,"Salesforce, NetSuite ERP, BOOMI"
Exciting Opportunity - Fullstack Python Developer - Direct Customer,#NAME?
Senior Software Engineer,"Agile Methodology , Apache Camel, Drools, REST, and Web-Services , Node.js, web services, CSS3, AJAX, JavaScript, HTML5, MVC and ExtJS , XML and XSLT technology , RDBMS, ORM, Web Services"
Network Admin,"vmware, scripting, Unix, frame relay, Linux, redhat, cisco"
Desktop Support Analyst,"Support, maintenance, solutions, admin"
FullStack Python Developer,"Python, MySQL DB, Javascript, Angular JS, Rest and Ajax API's, Django OR Symphony, Node.JS"
Product Analyst,"Product Analyst,Integration"
Lead Software Engineer- Java,Java; Lead
Java Analytics with Video,"Analytics + Java (Analytics, processing data, reviewing complex algorithms, streaming image & video data, etc.)"
Unified Communication Engineer,cisco uc networking ccvp ccie jabber platform voice unity sip center
DevOps Engineer- Infrastructure,"Kafka, Cassandra, Chef, Puppet, Spark, Nagios, Python, Ruby"
Networking Engineer with Linux,"Networking, linux admin, cisco networking, routing"
Sr Software Engineer-Java,"JAVE/J2EE, CUSTOMER INTERACTION/SUPPORT, DEVELOPMENT FRAMEWORKS, UNIX BACKGROUND"
"Technical Product Manager, Processing/Lending","technical product management, financial"
Data Analyst With eCommerce,"online/eCommerce, Data Analyst"
"PHP Developer @ SFO, CA","PHP, REST API & SOAP"
IT Compliance Manager,"IT Compliance Manager, Information Security Manager, IT Audit Manager, Senior PCI Consultant, Senior Security Consultant, Information Security Compliance Manager, IT Audit Consultant,"
Direct Hire: Sr. Ruby on Rails Developer,"Ruby on Rails, Puthon"
Sr. Java Back End Engineer,"Java, JBoss, Tomcat, Spring, Struts, JavaScript, JSON, HTML5, Flex, GWT, data management (Oracle/PLSQL), Hibernate, and WebServices"
Splunk Developer,splunk
PHP UI developer,"PHP, Javascript, CSS"
MPLS Design Build Network Engineer,"MPLS, VPLS, BGP, PE/CE,ASR, CCIE, Cisco, Juniper, IOS-XR, IOS-XE (Nexus), IOS"
Senior Systems Administrator,"vmware, unix,"
"Lead Server Engineer, Linux, Ruby","Linux, Ruby, Shell, AWS, MySQL"
Python Developer,"Python, Django, Postgres, Oracle"
AEM (Local to CA),"Java, HTML, XML, Data Caching, database schema"
Data Scientist,"Big Data Analytics, Data Scientist, Advanced Analytics"
C++ developer,"C++,linux/unix,python"
SAP MDG,"SAP MDG, Data Services, Stewardship"
"Sr. Java Fullstack Developer with Javascript, NoSQL & Automation Testing","Java, CSS3, AJAX, JavaScript, HTML5, MVC, ExtJS, XML XSLT, RDBMS, ORM, Web Services NoSQL"
"Senior Software Engineer, Mobile SDK developer",Android iOS SDK C API
Mathematical Programmer,"Strong Mathematics, Java, C++ or Similar, Test Numerical Code"
Customer facing Technical Consultant,Customer facing Technical Consultant
"React Native Developer, San Bruno, CA","React, React Native, react web js, node js, Java, Javascript, Mobile (iOS), Andriod"
Backend Java Developer,Java Data Structure Algorithm
Technical Writer,Technical Writer user manuals end-user documentation
"Oracle Technical Consultant at San Francisco, CA",Oracle
SR. Apache Spark Developer,spark java kafka scala akka play
Junior C/C++ Developer at Green Company.,"C++, Linux, GNU Compiler Collection"
SSD linux kernel contractor,"Linux kernel, PCIe, SATA, etc."
PEGA Tester,"Pega tester, Oracle, PL/SQL, SQL, workflows"
Delivery Manager,"Delivery Manager, Java Development, API, Micro Service, MongoDB"
Senior Mobile Engineer/IOS and Android,"IOS Android TDD Video streaming XCode/AppCode IDE, Android SDK 5.0 Apple TV and Apple Watch.WEB Services"
Senior Applications Engineer,Applications engineering customer pre and post sales experience FPGA Verilog and VHDL SerDes test equipment
JavaScript Developer (H1b transfer available),"UI / UX / front-end, JavaScript / JS, AngularJS, CSS3, HTML5"
Sharepoint Developer,"Strong Experience on REST API, CSOM and JSOM API model Strong experience on developing custom REST API"
Project Manager / Business Analyst,business analyst
Senior Sales and Business Development Manager .1045,Bachelors degree or 4-year equivalent.Ten years+ of outside sales experience.Three years+ selling data capture products (including but not limited to Optical Character Recognition (OCR).
Optical Engineer,"SONET, DWDM, Performance Tuning, Cisco Transport Planner"
Sailpoint Architect,"Sailpoint Architect, SAML , Sailpoint"
"Sr. Process Engineer (Kapolei, Hawaii)","Engineer, manufacturing"
Director Of Engineering- AI/Machine Learning/NLP,Director of Engineering - Machine Learning/AI/NLP Expertise for exciting start up company!
Senior Product Line Management -0314,"As Product Marketing Engineer for the fast growing StrataGX ARM Processor product line, you will be helping to define the strategic direction of the CCX ARM SoC"
Front End Web Developer,Javascript backbone.js node.js angular.js HTML5 CSS3 Perl PHP MySQL Flash Actionscript DOM XSLT/XML jquery SEO graphic design frontend responsive UI UX social media streaming video
Big Data Analytics Engineer,"Deep knowledge of Linux, networking and security, Familiarity with AWS and its tools, Familiarity with big-data infrastructures such as Hbase, Hadoop, Spark, or, Casandra."
Project Manager,"Analysis, Project Management, Reporting"
Verigy 93000 Tester,"Verigy 93000 Tester, ATE, C/C++, Wafer sort test program"
QA Automation Engineer,"Scripting languages Ruby, Python, Perl, or programming language Java, C++, C#,"
Software Engineer,"JAVA, Designs, modifies, develops, writes and implements software programming applications."
Software Automation Engineer,"software automation engineer, automation, agile, c#, javascript,"
Interactive Marketing Project Manager,"""Interactive Marketing Project Manager"",campaign,sales,Marketing"
Collaboration Business Systems Analyst,"Business Systems Analyst, SharePoint, Collaboration, Documentation, Web Development, SDLC, EMC, eRoom, Stakeholders, ECM, Enterprise Content Management, Migrations"
Technical Lead - JAVA,"JAVA, Agile, Ruby, Spring"
UX Designer,"UX design, Web design"
Senior Search Engineer,Apache Lucene (experience with ElasticSearch is a plus) Java Restful
Sr. Javascript Developer,Backbone or ember
Network Architect,"Citrix,EIGRP,OSPF,Cisco ACE,F5,Network Access Control"
Java Big Data Engineer,Java Hadoop Hive Big Data Rest
Business Analyst,"CAMS, PeopleSoft integration experience, OCI, ADA"
IT Support Technician,"SCCM, Imaging PC's - Heavy End User Support"
Sr Business Development Executive ( IT Satffing ),"Develop Recruiting/Staffing, Develop Recruiting/Staffing Or Projects Job Orders, Build and strengthen business relations, established network, Develop Recruiting/Staffing, Develop Recruiting"
Software Engineer,Java and SQL and Informatica and ETL
Security Network Consultant/Service Provider- Bay Area,"Security, Firewalls, Juniper, Cisco Routers and Switches MPLS ASR9K Design and Architecture"
Build and Release Engineer,Yocto or Jenkins and RDK-B or RDK-V and Good in C and embedded
ETL developer/informatica developer,"ETL,informatica,unix,sql"
Application Engineer IV,Telecommuting not available Travel not required
Scrum Master/Agile Coach,"scrum master, agile coach, technical background"
Sr. Software Engineer (Backend),"JAVA, PYTHON, NoSQL, JSON, REST API, server side"
Application Developer,"SQL, Oracle, ETL"
"Web UI Engineer (Javascript, ExtJs, Sencha)","UI Engineer, Excellent Javascript experience, ExtJS, Sencha"
Web Developer,"HTML5, JavaScript, CSS3, AJAX , JavaScript, UI and Front End , Agile development"
Appian Developer / Architect,"Appian Developer , Architect"
Junior UX designer,"UX , Visual, Sketch , Invision, hybrid"
REMOTE WORK - NetSuite Developer,"NetSuite Development,"
iOS Mobile Engineer,"mobile, iOS,"
Sr Software Engineer,"Core Java , J2EE Spring Hibernate, Experience developing PAAS platforms"
Real Estate Paralegal,paralegal
Hadoop Architect/ Hadoop Administrator,"Hadoop, Cassandra, Linux administration"
UI/UX Designer,"UX, Graphic, designer, photoshop, illustrator, storyboarding, HTML, CSS, JavaScript, UI, Adobe"
Technical Production Support Engineer,"Production Support, Java, L1/L2, SQL, Troubleshooting"
"PHP, MySQL Mongo Back End Developers, Contract",PHP MONGO
Senior Software Engineer/Architect,"File systems: ext4, xfs, f2fs; lightNVM; distributed file systems: Ceph, HDFS; C Programming"
Workday Certified Integration Consultant,"Workday business process framework, iLoad, EIB, Connectors, Studio and RaaS"
UC/AV Engineer,"dynamic and static IP Routing protocols, LAN, WLAN, MAN, and WAN circuits, Polycom and Cisco video endpoints"
Solution Architect,Seasoned software professional responsible for deploying clients SAFE product suite within a customers environment. Proficient with Javascript & SQL.
Identity Engineer(SQL and LDAP),"LDAP administration, ETL, SQL, SQL Server"
"Pega LSA at Columbus, GA/Mountain View, CA/Kansas City, MO & Delaware",PegaL CSSA
Senior Java Software Engineer,"Spring,Java, Agile, RESTful Web Services, Backend, Full Stack"
Desktop Support - Level 2,Windows - Tier 2
QA Billing Center Lead,"Policy, Invoicing, Quality Center, Guidewire,"
IT Compliance Manager,"(PCI DSS), HIPAA, SOC2, ISO 27001/2"
Sales Administrator (1-SMK),"Must speak Mandarine. One (1) year certificate from college or technical school,; and minimum Two (2) years related experience and/or training; or equivalent combination of education and experience."
java apache storm Cassandra,Strong java apache storm Cassandra
Sr. Java Back-End Developer,"Rest API Development, Data structures, Algorithms"
Java Technical Lead,"Java, Spring, Hibernate, MySQL, MongoDB, Hadoop, CRM, Accounting, payments, collections, Groovy, AngularJS, HTML5, CSS3, REST, Gradle, Jenkins"
"Director, IT Enterprise Architecture","solution architect, retail, SOA, middleware, vendor, EA Tools"
"Senior Software Engineer, Android development",Android
Systems Engineer (DevOps),"DevOps, Jenkins, Nexus, Chef, Capistrano, Shell, Powershell, SonarQube, Junit, Spock"
Front End Developer,"Node.JS, REST, JSON , Oracle or SQL Server , Agile , CI (continuous integration) development , object oriented design , MVC patterns , Git, Subversion, Jenkins, Maven"
Python Software Engineer,"5 to 10 years of experience building web-based applications using Python, Java, Strong relational and NoSQL database experience. Expert in two or more of MySQL, MongoDB, Cassandra, HBase"
Big Data Developer,AWS Redshift Python SQL
Oracle EBS Techno Functional,"Oracle R12 Ebusiness Suite, SQL, EAM, PLsql,GRant"
Solutions Architect,"Java, J2EE, Middleware Dell Boomi, Oracle SOA Suite, Data Virtualization, Services, APIs , tomcat, Pharma"
Office Administrator,"Quickbooks, bookkeeping, Accounts Receivable, Payroll"
Database Administrator,Telecommuting not available Travel not required
Technical Writer,technical writer
Systems Administrator,"windows server, active directory, SQL,Exchange, SharePoint, VMWare, vSphere, HyperV"
Project Manager / Technical Writer,"PMP Certified, California State experience, Experience in Market Research"
Sr. Manufacturing Engineer,"Medical experience, Solidworks, Manufacturing equipment, tooling and process qualification/validation, MS office, Adobe Creative Suite, EPS Bar Code"
Adobe Insight Architect,Telecommuting not available Travel not required
Senior Interaction Designer,"sketch, omnigraffle, interaction, visual, UX UI , inVision"
Senior Software Engineer - Visual C++,"visual c++, windows, gui"
Sr Production Support (Java),"Java, JEE, PL SQL"
Procurement Specialist- contingent labor / Staffing,"Procurement Specialist, SAP, Ariba, contract management, MSP, contingent labor, staffing Sourcing,Procurement, Scorecard, Vendor Management, Six Sigma, CPSM"
Lead Database Reliability Engineer,"SQL, MySQL, NoSQL, Python, Chef, Puppet"
Sr. Network Engineer,"routing, switching, network, security, TCP, IP, Firewalls, ACL, Linux, Unix, Shell, Perl, Python, OSPF, BGP, MPLS, VRF, OpenStack,"
Informatica Developer,"Informatica, PowerCenter, Data Warehouse, ETL, SQL Server, Oracle, T-SQL, SSIS, PL/SQL, Bank expereince required"
IT Licensing Manager,"software licensing,software asset management, sourcing, procurement,Contract or Vendor Management,"
Head of Sales and Business Development Professional/ BDM,"Head of Sales and Business Development Professional, BDM, Head Sales Business Development Manager, Recruiting"
Program Management Office (PMO) Director,"PMO, project governance guidelines, Six Sigma, Big 4 consulting companies, PMP"
Sr. Tibco Consultant,"Tibco BW, EMS,DB Adapter Java"
Front End Web Producer,web project management
Deep Learning Expert,"Design and develop Deep Learning, Machine Learning, Data Mining, statistics and other data analysis techniques"
